"","x"
"PPW1301",6.79375
"PPW1302",10.36875
"PPW1303",9.9625
"PPW1304",15.1133333333333
"PPW1305",5.55
"PPW1306",16.98125
"PPW1307",9.10625
"PPW1308",11.6625
"PPW1309",8.6125
"PPW1310",12.71875
"PPW1311",7.90625
"PPW1312",12.225
"PPW1313",9.71875
"PPW1314",9.29375
"PPW1315",8.81875
"PPW1316",6.81875
"PPW1317",5.71875
"PPW1318",8.21875
"PPW1319",10.5875
"PPW1320",4.49375
"PPW1321",6.3875
"PPW1322",12.2
"PPW1323",17.44375
"PPW1324",9.06875
"PPW1325",8.45625
"PPW1326",9.29375
"PPW1327",8.4125
"PPW1328",9.25
"PPW1329",12.35625
"PPW1330",8.21875
"PPW1331",7.89375
"PPW1332",11.23125
"PPW1333",7.28125
"PPW1334",6.80625
"PPW1335",8.6875
"PPW1336",6.06875
"PPW1337",11.36875
"PPW1338",15.34375
"PPW1339",9.18125
"PPW1340",10.74375
"PPW1341",10.8875
"PPW1342",9.00625
"PPW1343",9.86875
"PPW1344",9.54375
"PPW1345",11.25
"PPW1346",8.19375
"PPW1347",10.00625
"PPW1348",8.23125
"PPW1349",15.2
"PPW1350",5.1375
