"","Plot","Species","Sum DBH (cm)"
"PPW1302.1","PPW1302","PSEMEN",8.37
"PPW1302.2","PPW1302","QUEAGR",252.04
"PPW1302.3","PPW1302","UMBCAL",105.69
"PPW1304.1","PPW1304","AESCAL",49.2
"PPW1304.2","PPW1304","QUEAGR",30.6
"PPW1304.3","PPW1304","QUEDEC",106.3
"PPW1305.1","PPW1305","HETARB",14.82
"PPW1305.2","PPW1305","QUEAGR",302.67
"PPW1305.3","PPW1305","UMBCAL",167.07
"PPW1306.1","PPW1306","ARBMEN",NA
"PPW1306.2","PPW1306","QUEDEC",195.85
"PPW1306.3","PPW1306","QUEKEL",16.2
"PPW1306.4","PPW1306","UMBCAL",1.1
"PPW1307.1","PPW1307","ARBMEN",155.98
"PPW1307.2","PPW1307","PSEMEN",78.59
"PPW1307.3","PPW1307","QUEAGR",135.5
"PPW1307.4","PPW1307","QUEDEC",47.1
"PPW1307.5","PPW1307","QUEGAR",55.65
"PPW1307.6","PPW1307","UMBCAL",12
"PPW1309.1","PPW1309","QUEAGR",85.4
"PPW1309.2","PPW1309","QUEKEL",135.85
"PPW1308","PPW1308","QUEDEC",318.8
"PPW1310.1","PPW1310","ARCMAN",39.4
"PPW1310.2","PPW1310","QUEDEC",NA
"PPW1310.3","PPW1310","UNK",NA
"PPW1311.1","PPW1311","ARCMAN",144.8
"PPW1311.2","PPW1311","HETARB",27.9
"PPW1311.3","PPW1311","QUEDEC",384.9
"PPW1311.4","PPW1311","QUEDOU",96.7
"PPW1312.1","PPW1312","ARBMEN",270.46
"PPW1312.2","PPW1312","ARCMAN",NA
"PPW1312.3","PPW1312","HETARB",11.37
"PPW1312.4","PPW1312","PSEMEN",89.5
"PPW1312.5","PPW1312","QUEAGR",383.96
"PPW1312.6","PPW1312","UMBCAL",3.59
"PPW1313.1","PPW1313","ARBMEN",237.14
"PPW1313.2","PPW1313","HETARB",25.55
"PPW1313.3","PPW1313","PSEMEN",1.63
"PPW1313.4","PPW1313","QUEAGR",86
"PPW1313.5","PPW1313","QUEDEC",36.55
"PPW1313.6","PPW1313","QUEKEL",60.5
"PPW1313.7","PPW1313","UMBCAL",1.11
"PPW1314.1","PPW1314","QUEAGR",249
"PPW1314.2","PPW1314","QUEDEC",129.75
"PPW1321.1","PPW1321","ARBMEN",44.9
"PPW1321.2","PPW1321","QUEAGR",42.55
"PPW1321.3","PPW1321","QUEGAR",NA
"PPW1321.4","PPW1321","QUEKEL",56.55
"PPW1321.5","PPW1321","UMBCAL",1.28
"PPW1322.1","PPW1322","BACPIL",15.16
"PPW1322.2","PPW1322","QUEAGR",41.4
"PPW1322.3","PPW1322","QUEDOU",400.65
"PPW1323.1","PPW1323","ARCMAN",60.2
"PPW1323.2","PPW1323","QUEAGR",43.4
"PPW1323.3","PPW1323","QUEDOU",338.2
"PPW1332.1","PPW1332","QUEDEC",240.65
"PPW1332.2","PPW1332","UMBCAL",138.95
"PPW1335.1","PPW1335","AESCAL",64.5
"PPW1335.2","PPW1335","QUEDOU",479.2
"PPW1338.1","PPW1338","PSEMEN",6.75
"PPW1338.2","PPW1338","QUEAGR",461.35
"PPW1339.1","PPW1339","QUEAGR",378.77
"PPW1339.2","PPW1339","QUEDOU",133.2
"PPW1339.3","PPW1339","UMBCAL",1.81
"PP1340.1","PP1340","ARBMEN",35.78
"PP1340.2","PP1340","NOTDEN",9.4
"PP1340.3","PP1340","PSEMEN",NA
"PP1340.4","PP1340","QUEAGR",86.03
"PP1340.5","PP1340","UMBCAL",NA
"PPW1341.1","PPW1341","PSEMEN",NA
"PPW1341.2","PPW1341","QUEAGR",196.38
"PPW1341.3","PPW1341","UMBCAL",7.17
"PPW1342.1","PPW1342","NOTDEN",12.46
"PPW1342.2","PPW1342","PSEMEN",831.76
"PPW1342.3","PPW1342","QUEAGR",29.46
"PPW1342.4","PPW1342","UMBCAL",2.48
"PPW1343.1","PPW1343","ARBMEN",1.11
"PPW1343.2","PPW1343","PSEMEN",NA
"PPW1343.3","PPW1343","QUEDEC",205.4
"PPW1343.4","PPW1343","QUEKEL",91.55
"PPW1343.5","PPW1343","UMBCAL",44.15
"PPW1344.1","PPW1344","QUEDEC",61.9
"PPW1344.2","PPW1344","QUEDOU",148.15
"PPW1344.3","PPW1344","QUEKEL",45
"PPW1345.1","PPW1345","ARBMEN",34.25
"PPW1345.2","PPW1345","ARCMAN",124.85
"PPW1345.3","PPW1345","HETARB",342.35
"PPW1345.4","PPW1345","PSEMEN",9.7
"PPW1345.5","PPW1345","QUEAGR",63.27
"PPW1345.6","PPW1345","QUEDEC",114.7
"PPW1345.7","PPW1345","QUEGAR",306.15
"PPW1345.8","PPW1345","UMBCAL",8.85
